2020-01-05,1
2020-01-12,1
2020-01-19,2
2020-01-26,5
2020-02-02,5
2020-02-09,4
2020-02-16,3
2020-02-23,6
2020-03-01,10
2020-03-08,36
2020-03-15,100
2020-03-22,82
2020-03-29,61
2020-04-05,48
2020-04-12,46
2020-04-19,42
2020-04-26,37
2020-05-03,30
2020-05-10,31
2020-05-17,26
2020-05-24,24
2020-05-31,20
2020-06-07,18
2020-06-14,18
2020-06-21,22
2020-06-28,27
2020-07-05,22
2020-07-12,22
2020-07-19,23
2020-07-26,26
2020-08-02,23
2020-08-09,26
2020-08-16,25
2020-08-23,21
2020-08-30,22
2020-09-06,20
2020-09-13,17
2020-09-20,15
2020-09-27,18
2020-10-04,16
2020-10-11,14
2020-10-18,14
2020-10-25,14
2020-11-01,11
2020-11-08,13
2020-11-15,14
2020-11-22,13
2020-11-29,15
2020-12-06,14
2020-12-13,12
2020-12-20,12
2020-12-27,12
2021-01-03,12
2021-01-10,11
2021-01-17,10
2021-01-24,12
2021-01-31,10